id_espece;nom_espece
1054;TOMATE
1055;EPINARD
1056;PORTE GREFFE
1057;PORTE GREFFE BIO
1058;HARICOT
1059;HARICOT BIO
1060;CHOU-CHINOIS
1061;CHOU-CHINOIS BIO
1062;PORTE GREFFE
1063;PORTE GREFFE BIO
1064;LAITUE
1065;LAITUE BIO
1066;CHOU-CHINOIS
1067;CHOU-CABUS
1068;EPINARD
1069;EPINARD BIO
1070;EPINARD BIO
1071;EPINARD
1072;POIVRON
1073;POIVRON BIO
1074;BATAVIA BLONDE
1075;CHOU-RAVE
1076;OIGNON
1077;COURGETTE
1078;POIREAU
1079;ROUGETTE
1080;ROUGETTE BIO
1081;SALADE
1082;SALADE
1083;SALADE
1084;ARTICHAUT
1085;SALADE
1086;SALADE
1087;SALADE
1088;CHOU
1089;SALADE
1090;SALADE
1091;SALADE
1092;SALADE BIO
1093;CHICOREE
1094;SALADE
1095;LAITUE
1096;SALADE
1097;SALADE
1098;CORIANDRE
1099;CORIANDRE BIO
1100;POIVRON
1101;TOMATE
1102;TOMATE BIO
1103;ESTRAGON
1104;ESTRAGON BIO
1105;ESTRAGON BIO
1106;ESTRAGON
1107;TOMATE BIO
1108;COURGE
1109;COURGE BIO
1110;TOMATE
1111;OIGNON
1112;OIGNON BIO
1113;POIVRON
1114;POIVRON BIO
1115;LAITUE
1116;LAITUE BIO
1117;MULTIFEUILLE BLONDE
1118;FLEUR
1119;COURGETTE
1120;MULTIFEUILLE BLONDE
1121;MULTIFEUILLE BLONDE
1122;MULTIFEUILLE BLONDE
1123;MULTIFEUILLE BLONDE
1124;MULTIFEUILLE BLONDE
1125;MULTIFEUILLE BLONDE
1126;MULTIFEUILLE BLONDE
1127;CHOU-LISSE
1128;CHOU-LISSE BIO
1129;MULTIFEUILLE BLONDE
1130;MULTIFEUILLE ROUGE
1131;MULTIFEUILLE ROUGE
1132;MULTIFEUILLE BLONDE
1133;PASTEQUE
1134;CHOU-FLEUR
1135;CHOU-FRISE
1136;CHOU-FRISE BIO
1137;FRISEE
1138;TOMATE
1139;TOMATE
1140;POIREAU
1141;CHOU-CABUS BIO
1142;CHOU-CABUS
1143;PASTEQUE
1144;CHOU-FLEUR
